exp_name,model,model_hash,model_path,judged_file,prompt_type,n,prompts,english_fluency_mean,english_fluency_std,coherence_mean,coherence_std,task_fulfillment_mean,task_fulfillment_std,constraint_following_mean,constraint_following_std,degeneration_control_mean,degeneration_control_std,completeness_mean,completeness_std,overall_quality_mean,overall_quality_std,flag_empty_or_near_empty,flag_mostly_non_english,flag_mostly_incoherent,flag_major_prompt_mismatch,flag_explicit_constraint_violation,flag_severe_repetition_or_looping,flag_likely_truncated
E_1,ftl_F_19,1801cb1361,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/4101454_0_ftl_F_19_2026-06-16_13-01-57/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_19_judged.jsonl,constraints,100,20,3.91,0.287623,4.03,0.846323,3.61,1.17116,3.21,0.924362,3.2,0.568535,2.93,0.714284,3.52,0.658741,0,0,8,27,88,8,90
E_1,ftl_F_7,7e53e0d044,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3958348_1_ftl_F_7_2026-05-05_07-36-36/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_7_judged.jsonl,constraints,100,20,3.89,0.345096,4.06,0.919156,3.53,1.258948,3.14,0.953674,3.23,0.600589,2.84,0.734709,3.51,0.703455,0,0,9,32,89,9,92
E_1,ftl_F_8,6093f6f2a1,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3964836_1_ftl_F_8_2026-05-06_06-43-31/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_8_judged.jsonl,constraints,100,20,3.39,0.737111,3.54,1.298173,3.11,1.109145,3.08,0.917617,3.2,0.696311,2.64,0.937652,3.11,0.827495,0,0,25,39,90,16,84
E_1,base,80e603240e,/home/alaltischenko/proj/tinyllm/fine-tune-2/runs/3654739_3_ft2_F_base_2026-02-26_06-48-53/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/base_judged.jsonl,ood_simple,100,20,4.34,0.476095,5,0,1.67,0.472582,2,0,4.34,0.476095,2.12,0.477367,3,0,0,0,0,100,100,0,94
E_1,ftl_F_1,d52f8b4ac2,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3834480_3_ftl_F_1_2026-04-06_05-08-58/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_1_judged.jsonl,ood_simple,100,20,3.54,0.626357,3.63,1.252513,1.69,0.486069,2,0,3.3,0.611341,2.07,0.670519,2.59,0.51434,0,0,23,99,100,8,90
E_1,ftl_F_19,1801cb1361,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/4101454_0_ftl_F_19_2026-06-16_13-01-57/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_19_judged.jsonl,ood_simple,100,20,3.96,0.196946,4.23,0.919541,1.58,0.496045,2,0,3.27,0.529055,2.24,0.653197,2.82,0.386123,0,0,4,100,100,4,88
E_1,ftl_F_7,7e53e0d044,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3958348_1_ftl_F_7_2026-05-05_07-36-36/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_7_judged.jsonl,ood_simple,100,20,3.93,0.256432,4.12,0.997775,1.58,0.496045,2,0,3.22,0.54272,2.18,0.575247,2.79,0.40936,0,0,7,100,100,6,91
E_1,ftl_F_8,6093f6f2a1,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3964836_1_ftl_F_8_2026-05-06_06-43-31/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_8_judged.jsonl,ood_simple,100,20,3.63,0.630135,3.8,1.239094,1.65,0.5,2,0,3.21,0.607944,2.14,0.651649,2.66,0.496859,0,0,20,99,100,10,90
E_1,base,80e603240e,/home/alaltischenko/proj/tinyllm/fine-tune-2/runs/3654739_3_ft2_F_base_2026-02-26_06-48-53/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/base_judged.jsonl,all,700,140,4.301429,0.459207,4.987143,0.196115,3.57,1.31437,3.575714,1.226197,4.292857,0.482845,2.96,0.82943,3.848571,0.682867,0,0,3,210,184,3,609
E_1,ftl_F_1,d52f8b4ac2,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3834480_3_ftl_F_1_2026-04-06_05-08-58/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_1_judged.jsonl,all,700,140,3.535714,0.626212,3.781429,1.106334,3.408571,1.241364,3.46,1.1694,3.315714,0.622914,2.767143,0.873259,3.325714,0.816266,0,0,97,205,187,60,623
E_1,ftl_F_19,1801cb1361,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/4101454_0_ftl_F_19_2026-06-16_13-01-57/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_19_judged.jsonl,all,700,140,3.951429,0.215124,4.205714,0.782843,3.541429,1.335012,3.544286,1.216027,3.38,0.574767,2.93,0.752269,3.53,0.644521,0,0,33,207,188,33,621
E_1,ftl_F_7,7e53e0d044,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3958348_1_ftl_F_7_2026-05-05_07-36-36/out/ckpt.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_7_judged.jsonl,all,700,140,3.947143,0.230209,4.224286,0.78413,3.547143,1.340171,3.551429,1.215746,3.384286,0.575647,2.878571,0.732134,3.552857,0.664924,0,0,34,205,189,33,640
E_1,ftl_F_8,6093f6f2a1,/home/alaltischenko/proj/tinyllm/fine-tune-lora-2/inference/config/E_1/../../../runs/3964836_1_ftl_F_8_2026-05-06_06-43-31/out/ckpt_best.pt,/home/user_mi/user_mi/HSE/2025_2026/search_programm/comments/experiments/fine-tune-lora-2/inference/res/E_1/ftl_F_8_judged.jsonl,all,700,140,3.52,0.668866,3.734286,1.146355,3.257143,1.24169,3.334286,1.168113,3.281429,0.652451,2.682857,0.873709,3.241429,0.795372,0,0,115,238,190,78,623
